index,name,rating,review_count,price,zip_code,id
408,Onesto Pizza & Trattoria,4.0,251,$$,63109,a1GY-xy-PKrPXlMbhBv5ZA
409,Pueblo Solis,3.5,223,$$,63109,rfbfSleg64ObTGGRMZgt3A
410,F&B's Eatery,4.5,80,$,63139,mm3ANaRdJo8nAaPFpn76AA
411,Knead,4.5,98,$$,63139,7sV9quynaXTvDW85Bixhaw
412,Dos Reyes Mexican Restaurant,4.0,130,$$,63109,WYFbNrYDgw7gNDvMxa0rKA
413,Himalayan Yeti,4.5,215,$$,63139,1ulD4HL2G8qbpEuuWFDSqQ
414,Zia's on the Hill,4.0,638,$$,63110,AixPbZxJkgRyjxVqrpPAmw
415,Novella Wine Bar,5.0,43,$$,63109,Zz1utCut0psbC4brBjvSEg
416,The Royale Food & Spirits,4.0,371,$$,63139,gKBqK-FFq7EGOUscBqb1iA
417,Apollonia,4.0,170,$$,63116,ay9zMsFHhwD483o8Zwdc_A
418,The Piccadilly at Manhattan,4.0,230,$$,63143,7ZQYMFjKj7AK1vzCi0BNyg
419,Bo Fung Chinese Kitchen,4.0,192,$,63116,zvcyW3ZtPYWziX7k9tCFBg
423,Adriana’s On The Hill,4.5,356,$$,63110,56M2bwaaSzcmzr2dyEfYQw
427,Charlie Gitto's On the Hill,4.5,547,$$,63110,dtU_DsHVOCi-2-mWe7gabw
429,Gioia's Deli,4.5,302,$,63110,56TulnfOZy0JI96zwVv27w
434,Olio,4.0,322,$$,63110,rBdG_23USc7DletfZ11xGA
436,SweetArt,4.5,411,$$,63110,YVy2DgGfNmG5hWYbA7k8jg
439,Indo,5.0,96,$$$,63110,_xWm_EgCq4dGTjo_DmEVWw
440,Layla,4.0,424,$$,63110,4ZNCc1GzJZkS7XI1c9rCMA
443,Everest Cafe & Bar,4.0,348,$$,63110,X7yGrz7oDbt8UY5rdmJc_w
444,La Patisserie Chouquette,4.5,199,$$,63110,5TVWytR2oNbSKYgfxypuBw
446,Confluence Kombucha,5.0,73,$$,63110,kZVkrF0Cy-xwfpO94g-ylw
447,Lulu's Local Eatery,4.5,439,$,63118,3zI7Ka2_ZsKh4UwbSFnXdw
449,J Devoti Trattoria,4.5,181,$$$,63110,rdtx0kMDoC15FvNyom6W_g
450,Stacked STL,4.5,570,$$,63111,BOjpe0u5u_cm9SWMS2KLFg
451,The Stellar Hog,4.5,128,$$,63116,Nk4qSOwcVdAT1CMOzU3O0g
452,Grbic Restaurant,4.5,243,$$,63116,oUgmm76-UCd5N0z4xwDOYw
453,Sump Coffee,4.5,285,$$,63118,A5b9nVDi1DPVvPOD24-p6w
454,Banh Mi So 1,4.0,231,$,63118,EfXTQPiVBym_2KoG7-XeSw
455,Chimichanga's Mexican Restaurant,3.5,200,$,63111,8ZFC_TnP_hAsn0rgoK7KAA
456,Majeed Mediterranean Restaurant,4.5,88,$$,63116,pi-y4uXjkOWeuBSI8bv2Wg
457,Mariachis II Mexican Restaurant,4.5,145,$$,63116,DMlBzp6bs_f8WK8xQQvZWQ
458,Lemmons,4.5,97,$$,63116,vgTA3vYLwZM2OnzJHjNdug
459,J's Pitaria,4.5,62,$,63116,2P-pvj_jo0SxNe6jih6sOA
460,Kalbi Taco Shack,4.5,158,$,63118,T-xYMAkdNlMPCGqWAH3mwg
