,index,business_id,review_id,rating,name,short name
134,2,3zI7Ka2_ZsKh4UwbSFnXdw,s_3FN56nkNQwXNYWTuQozg,5,Eleni B.,eleni
135,0,40ovn6SAc5c7v84bRzpB2Q,2E-EOnQtgVpxvPXo92ILkQ,5,Jordan K.,jordan
136,1,40ovn6SAc5c7v84bRzpB2Q,DRbHrr9lbH_wFJhOMHmsaA,2,Michelle L.,michelle
137,2,40ovn6SAc5c7v84bRzpB2Q,6CQkebvACIT7rQdNXnGJNA,5,Andrea S.,andrea
138,0,4EbwDR58_1Lm54Oru_Dfxw,v80EXsnznspHp9-fkBFt-Q,4,Jennifer L.,jennifer
139,1,4EbwDR58_1Lm54Oru_Dfxw,p3lzdtdx-eVfb_3bwBYh-w,5,Brooke H.,brooke
140,2,4EbwDR58_1Lm54Oru_Dfxw,qp4IJhejRJzsxzbbYAZGAw,5,Donna M.,donna
141,0,4Ks_Ex6Luc5jbQsbkDBNug,BAUr0xEFaVCoaGlqMoRkjA,3,Stephanie J.,stephanie
142,1,4Ks_Ex6Luc5jbQsbkDBNug,xlshKMvqib-oSjPO9f_eIQ,5,Bernadette B.,bernadette
143,2,4Ks_Ex6Luc5jbQsbkDBNug,d2wjko0wOhPTs6p7pc7I4g,5,Kane K.,kane
144,0,4P6sn5nKJ2KFYrHUF4-qiA,dYJ91dgzAk7TdQUGhOyZAw,5,Ebony M.,ebony
145,1,4P6sn5nKJ2KFYrHUF4-qiA,S1A8QzILot8wduFRrimMEA,5,Theresa G.,theresa
146,2,4P6sn5nKJ2KFYrHUF4-qiA,7IjuiZddM_sPYBMy4MlPjw,4,Amber F.,amber
147,0,4bNFWpQtS5PtfjXuxTc-GQ,zL3G_WevDOKUsR8LPtFK8g,5,Glo K.,glo
148,1,4bNFWpQtS5PtfjXuxTc-GQ,hJ4gjtVyxWrdOeFymY_otQ,5,Brian H.,brian
149,2,4bNFWpQtS5PtfjXuxTc-GQ,v7DRsNogpocMTJ-WHXTqug,5,Hao X.,hao
150,0,4lm1dUvP7GPgyJqUlLxcYg,VAxuHpjbIhUGwJmgBB66zw,5,Erika K.,erika
151,1,4lm1dUvP7GPgyJqUlLxcYg,OTdFdaPxljewnzpr_3Rjrg,5,Lily R.,lily
152,2,4lm1dUvP7GPgyJqUlLxcYg,k2ZP9rGUCRqODcVFiAusvQ,4,Jon T.,jon
153,0,4mGnHfvwjE6P-vuKowHzCQ,ZN1Fxk_mfMePj8T-tiwrYw,5,Meredith W.,meredith
154,1,4mGnHfvwjE6P-vuKowHzCQ,YYrlgPH1kalsS7vACI7vVA,4,Melissa M.,melissa
155,2,4mGnHfvwjE6P-vuKowHzCQ,izc18gugt5cTWDf26YDo1A,4,Patt C.,patt
156,0,4oe5dLfE283zx0aw6BHKTA,lERmK8AGZmI9hMq_d6TmKA,5,Kelly M.,kelly
157,1,4oe5dLfE283zx0aw6BHKTA,WmMKCN9UV8FVOpwtc86c1g,5,Austin K.,austin
158,2,4oe5dLfE283zx0aw6BHKTA,hCvX2W-eMcQzFmcmZukmLg,5,Bai L.,bai
159,0,4r3Ck65DCG1T6gpWodPyrg,_jNKbDXxbq3T8BMUufO5Eg,5,Daniel S.,daniel
160,1,4r3Ck65DCG1T6gpWodPyrg,nwzFWikv-xsaTGNg5EF62Q,2,Aaron O.,aaron
161,2,4r3Ck65DCG1T6gpWodPyrg,k2E229RbBeYwaVPaQJl8WA,3,Keith T.,keith
162,0,4uZUHjSonatwt-02yqJp6w,4FyszXFoCbVZghdgGJyXsw,5,Mark H.,mark
163,1,4uZUHjSonatwt-02yqJp6w,quwgz4QAbe6ijGL49-nW1A,5,Heather R.,heather
164,2,4uZUHjSonatwt-02yqJp6w,Oo8DoPPv94Ug3NDoxK-H4w,4,Prachi M.,prachi
165,0,50QTrfSrow-F2Avsjabl8w,lCvhp841jpSW1M6ZACxm-g,5,Chris C.,chris
166,1,50QTrfSrow-F2Avsjabl8w,S5UpcpNiM0sHF5w6hdzKnw,4,David A.,david
167,2,50QTrfSrow-F2Avsjabl8w,f61Csf8oJ0AsmACyM9hEgw,5,Darrell W.,darrell
168,0,54X8EMNaeeMjleWUZENl6w,ul8DwWeygOUMuzXkZ3kI1g,1,Erma B.,erma
169,1,54X8EMNaeeMjleWUZENl6w,7zujh_wOHvVfIoj7afnymw,5,Todd W.,todd
170,2,54X8EMNaeeMjleWUZENl6w,34_IUExU4DFF-4cvWSYrkQ,5,Tosha M.,tosha
171,0,55GmNphU0DhtkvG5lSZ49w,pue8oiMZkLmmc2EIzc5PWQ,5,Kelli K.,kelli
172,1,55GmNphU0DhtkvG5lSZ49w,-vJBbsQlIhQUyxcAO-xfWg,5,David W.,david
173,2,55GmNphU0DhtkvG5lSZ49w,1OGfgMsJwx6d6Js-W9Em6g,4,Christina P.,christina
174,0,56M2bwaaSzcmzr2dyEfYQw,CunlbCg4wPbxEs8jS1ctNQ,5,Conrad F.,conrad
175,1,56M2bwaaSzcmzr2dyEfYQw,PNOKsHwu2czWnQJiucHuGw,5,Denise Y.,denise
176,2,56M2bwaaSzcmzr2dyEfYQw,X_ZGIDLzqIQH4A4dCK3Qow,5,Andy K.,andy
177,0,56TulnfOZy0JI96zwVv27w,e0GHEjD032ofLoLvQGBSdA,5,Riana Elizabeth E.,riana
178,1,56TulnfOZy0JI96zwVv27w,FxtM61_DRAgJxd46nJ_JAA,4,Kelly S.,kelly
179,2,56TulnfOZy0JI96zwVv27w,DN3Y8uAH1kM2fiAskmApNg,4,Isaac T.,isaac
180,0,5dKDUPQaC7aMxqzMUsKXIg,7pLBwoA_9yTIRWMNnMavFQ,5,Andrew M.,andrew
181,1,5dKDUPQaC7aMxqzMUsKXIg,GwSYdug_gudwH2WTYl1Vmw,5,Alyssa W.,alyssa
182,2,5dKDUPQaC7aMxqzMUsKXIg,AL4sH6F6Y1MfjWtUwB7yrA,4,Renee I.,renee
183,0,5mDneH5wP5VN_7GVe-PudQ,SuxiEjYfzO0sAcga8MzGHA,5,Mary D.,mary
184,1,5mDneH5wP5VN_7GVe-PudQ,ITrzTQSiwNTR12O-eWqakg,4,Faye T.,faye
185,2,5mDneH5wP5VN_7GVe-PudQ,p5VtnGnKwp8Qk_EghaDKow,4,Caitlin K.,caitlin
186,0,60xFUHDmopm4FRzK6bPRTw,MVxypM3TufjzZ27yBOS9Pg,5,justin s.,justin
187,1,60xFUHDmopm4FRzK6bPRTw,X0PRT2qHUvkSk12DfMzD3A,5,Cynthia M.,cynthia
188,2,60xFUHDmopm4FRzK6bPRTw,58LRUmwP5q-WcVpnGD4n1Q,5,Katie U.,katie
189,0,62pABDhLkUPAcNgxum_mpw,3LcJTTfWnC5InCqVhcOVDA,5,Mark S.,mark
190,1,62pABDhLkUPAcNgxum_mpw,dHVNjkqbxGKjxzO5ErI1nw,4,Tom C.,tom
191,2,62pABDhLkUPAcNgxum_mpw,bvUY27_kSOBJbS-N78hx9Q,4,Katie G.,katie
192,0,66iPAV8RfO84cC0W83RrcQ,MhaiErQhtPlYfeLXYaha6g,5,Mike F.,mike
193,1,66iPAV8RfO84cC0W83RrcQ,cxwrR5_7BJsMGXXWlJbQOg,5,Stanley H.,stanley
194,2,66iPAV8RfO84cC0W83RrcQ,64j5H9a4J-eW9f_Q4cmwVA,5,Allen L.,allen
195,0,6EKawoqscJ0IYNjtfpd0_w,HqE4kJAigpzMTCcEYsXBhQ,5,Michael W.,michael
196,1,6EKawoqscJ0IYNjtfpd0_w,HasQfaQLL_nHw3cQsD0b0g,5,Steve S.,steve
197,2,6EKawoqscJ0IYNjtfpd0_w,5qB7X8lXHGximfutbovT_w,5,Tara B.,tara
198,0,6FvC6w810uf6O7Ocd6Wpog,YsvoW25HSDv8c2U-0yP1mA,5,Dawn L.,dawn
199,1,6FvC6w810uf6O7Ocd6Wpog,ppecHOUFWnOdxmFs38bA5g,2,Steve B.,steve
200,2,6FvC6w810uf6O7Ocd6Wpog,y2Hg-SKZeW4X-hktef-Wjw,5,Mary Margaret M.,mary
201,0,6Gx45ltNNZvjzVBO6ZgVOg,gFZzpbi9gkcJGbZPlx8cjA,5,Jim C.,jim
202,1,6Gx45ltNNZvjzVBO6ZgVOg,3nUp9zZZfLRZFwIdtiikGA,4,Al N.,al
203,2,6Gx45ltNNZvjzVBO6ZgVOg,CdU9HkKk9nA3sNpmQC6s6Q,1,Dave D.,dave
204,0,6JekbYlD5cGNBEEhZRHKAQ,Un6t6yt22rD8x9fIwMhK0w,4,Michael M.,michael
205,1,6JekbYlD5cGNBEEhZRHKAQ,2OuSIV6dn3DcGZugIg0dRQ,2,Meighan W.,meighan
206,2,6JekbYlD5cGNBEEhZRHKAQ,J_w6FcqZK2SViDYJj_goig,4,Christina C.,christina
207,0,6SUvtHmZMW3rjn4hP73kWg,8zyrz9NggyBt5zEP8rccuQ,5,Ashley B.,ashley
208,1,6SUvtHmZMW3rjn4hP73kWg,yhKiqwOs3sXGgkFhLuFgow,1,Joann S.,joann
209,2,6SUvtHmZMW3rjn4hP73kWg,nwCK8A0vD2cSZpCGjscTaA,5,Crystal C.,crystal
210,0,6ocjEAlJYLZu0SksTMUZRg,J-Kmjq0RHxZd2kR98XQIEA,4,Prick J.,prick
211,1,6ocjEAlJYLZu0SksTMUZRg,uzxd7d18L7aHJBTpMJYzaQ,3,Karla H.,karla
212,2,6ocjEAlJYLZu0SksTMUZRg,4hWRDYxZmXMjV7GN4rQnyQ,1,Isah K.,isah
213,0,6r9FNW0-4aKqbPCX7UxTZg,L0r7kkP6Nv3e5g7ywIJWjg,4,Annette R.,annette
214,1,6r9FNW0-4aKqbPCX7UxTZg,XfBJvsVBmI2d33e1huLJDw,5,Bill K.,bill
215,2,6r9FNW0-4aKqbPCX7UxTZg,1Apy6kiZ8A1k7jPeVp0PBg,5,Brett B.,brett
216,0,6tyCAUL8uW3zuWKmncim5A,YUDKshH3YqGtdfam6eypxA,5,Todd W.,todd
217,1,6tyCAUL8uW3zuWKmncim5A,n_7m1cimc6PIHWgCObdllQ,1,Jackie E.,jackie
218,2,6tyCAUL8uW3zuWKmncim5A,N4gjSsisSKbCp_HNPY026A,2,Jason J.,jason
219,0,6uDjRpAfvKIEWuI1auLpkg,rFu7CuRNHZBsgCAknBqYjA,5,John G.,john
220,1,6uDjRpAfvKIEWuI1auLpkg,Zi3krFerHq9VdL-rm3bXWw,5,Mary Margaret M.,mary
221,2,6uDjRpAfvKIEWuI1auLpkg,4MFX6vTftAD4O3RJ_r6gyQ,5,Andrew B.,andrew
222,0,6yw6rcys6FuMnbatD0lEcA,AQ-LSWYtROgCf_APY1t8yQ,2,Pash W.,pash
223,1,6yw6rcys6FuMnbatD0lEcA,bPEukpu5-G_s_MNc9K8ehQ,5,Gloria R.,gloria
224,2,6yw6rcys6FuMnbatD0lEcA,4-dbl3hQ1dDw7LX_IdpEMg,4,Darla E.,darla
225,0,73ZXjIfdHJs59XOzKHQ45g,lBVCnCekXkFOPujMtfcTpQ,5,Mark S.,mark
226,1,73ZXjIfdHJs59XOzKHQ45g,lhHKsnqeStnu6R8TVOpKrg,5,Katie G.,katie
227,2,73ZXjIfdHJs59XOzKHQ45g,niKXGTa9LLPb8NNQKmvc_g,5,Kate T.,kate
228,0,79nXYNRPoZBc9_y_OLZg2w,YpqKWcAxAKYWCJ89v1_PCQ,5,Max R.,max
