index,name,rating,review_count,price,zip_code,id
1349,Dunkin',3.0,53,$,63122.0,kWxZoWO-Nw9V_xBgUYrRgQ
1354,Double D's Pizzeria,4.0,64,$$,63128.0,EAIFPr1cHc9lWh_vVPvORw
1355,The Gyro Company - South County,4.5,90,$,63129.0,we1YC8nDW9V1H-BL_XMaRQ
1364,Hunan Royal,4.0,33,$,63128.0,QT3kpKdyFrUFD7vuQWXbHQ
1366,Dave's Diner,4.0,39,$,63123.0,tjvuAPVe8buQCDvtOsy3CA
1370,Liu Shun Wok,4.5,27,$,63128.0,08kBMcufQMg-Dc9IouWIYQ
1373,Dulany's Grille and Pub,3.5,50,$$,63128.0,lYOCnSPLrnpxlKtv0J09bA
1375,Frailey's Southtown,3.0,64,$$,63128.0,mqpXIXRuaWdKhWmeNRCh9Q
1376,Drunken Noodles Taste Of Thai,4.0,97,$$,63129.0,koU-NJTb-CSoCK-UI1uCjQ
1378,Outback Steakhouse,3.5,98,$$,63126.0,3LSYzek9a1Xho8uPEFe29w
1379,TGI Fridays,3.5,65,$$,63126.0,9KlzXZ4FKgoBA80zEyXO9A
1380,Firehouse Subs,4.0,16,$,63128.0,ZIx2nJpkZCNTmx5_EqdroA
1381,Hokkaido Supreme Buffet,3.0,122,$$,63128.0,zi0gBCtnESAbVKRNYHrKog
1382,Cake House Design,5.0,13,$$,63129.0,ppzKevQp8Qb6-1V89mI7HQ
1384,Tequila Mexican Restaurant,3.5,94,$,63129.0,4A_1kNLFVYmQ-zfz93huBg
1389,Froyo Premium Frozen Yogurt,4.0,14,$,63128.0,Xd8yOTQEg_HtKI5Oc89TDw
1390,El Maguey Mexican Restaurant,3.0,61,$,63128.0,FJjJM6eM94yY5kExmBpbuQ
1391,Schottzie's Bar & Grill,3.5,40,$,63123.0,t15pblhsTMQqp7Rh7KgHVA
1392,Olive Garden Italian Restaurant,3.0,72,$$,63123.0,IlVFBKxhiLstwEqDq3TP6Q
1396,Murphy's On 21,3.5,16,$,63128.0,JgSysePfuL68hBo4wBEWvg
