,index,business_id,review_id,reviewer_rating,reviewer_full,short name,gender
160,1,2tTUnW5filzR3YG-G7rZ0w,SD5ciA0d6BcMAONF_s9TXw,5,Saskia P.,saskia,Female
161,2,2tTUnW5filzR3YG-G7rZ0w,1c6gwfJ786Xw3XjivpMVfw,4,Aarti K.,aarti,Female
162,0,2u_w3rthRzR2uEihW5BC4A,wHGvnmvI9d_34T_5rIXn-A,5,Mary Z.,mary,Female
164,2,2u_w3rthRzR2uEihW5BC4A,kv1alV4bBfMi1I6jKUj49w,4,Matthew S.,matthew,Male
166,1,34LM8_lP8iwizHBu6YgaQQ,9Blgvo9ipVnerjahqeZVng,1,Jeremiah R.,jeremiah,Male
167,2,34LM8_lP8iwizHBu6YgaQQ,Z2YQizG8Z-xhy4-T0QrjMA,4,Kyle N.,kyle,Male
168,0,353bun0151fMbR3ut2d-nw,Uwa-Y2DaS1sGS4BffYsHTw,4,Sonia S.,sonia,Female
169,1,353bun0151fMbR3ut2d-nw,gGmLXgpCi0zN6vnM-N_PCA,5,Perry L.,perry,Male
170,2,353bun0151fMbR3ut2d-nw,nzktb0SCoq-K-NYIUSJsZA,4,Bella B.,bella,Female
172,1,36krOhexcsA8Uetoq52A7g,CDXbWbWyN6HXpkCHlN1wlg,4,Cher A.,cher,Female
173,2,36krOhexcsA8Uetoq52A7g,653N4FW2R-WQp-QrV-v7lA,1,Sasha R.,sasha,Male
174,0,3GMHPnrkFAcqffw3T7JSdQ,DFzZTu-RBWMqbCoiJwdQCQ,5,Basia L.,basia,Female
175,1,3GMHPnrkFAcqffw3T7JSdQ,zzYjMJ6YnCTziQ5ImE5mrw,3,May A.,may,Female
177,0,3K7Kc82bhU6-qjAjsBs3Fw,5cbEXgeIyF3-Y0Ewk6WaOA,5,Flora L.,flora,Female
178,1,3K7Kc82bhU6-qjAjsBs3Fw,d0cve8XseFmmSeHtu_yvjQ,5,Gong C.,gong,Male
179,2,3K7Kc82bhU6-qjAjsBs3Fw,SYnp4mKn6cR2ujezS3mIkA,2,Steven G.,steven,Male
180,0,3SHKwvL_tS4ZICow_I2wPg,8O8gjFRo8nMjMWcWlfnvUg,5,Bernadette A.,bernadette,Female
181,1,3SHKwvL_tS4ZICow_I2wPg,vLuivDztIB7SGgJLhr3l_A,4,Cheryl G.,cheryl,Female
182,2,3SHKwvL_tS4ZICow_I2wPg,MCyOkKEa06YYZ44CZm8w2Q,4,Diana S.,diana,Female
183,0,3gqKLANaXNsHZnPDjKrcTg,SgN8uQJlkJGRoNg8ndGLAg,5,Erin C.,erin,Female
185,2,3gqKLANaXNsHZnPDjKrcTg,IrHJ31Gd1Kx5jHOTA38CLw,5,Anthony L.,anthony,Male
187,1,3lLBRLbXAIgd1yZgWgnfeg,CeogvCzV1Z5xbWNXtGnXyQ,4,Jackie S.,jackie,Female
188,2,3lLBRLbXAIgd1yZgWgnfeg,TOT1Yj0hs-5S0vpK4inwVA,5,Ricky Z.,ricky,Male
189,0,3n96VKiKG5Tte8z-U-TaLg,cCohvTjcnBBNwfQWWp13kA,5,Ray L.,ray,Male
190,1,3n96VKiKG5Tte8z-U-TaLg,2U20bwPffftwAKyyTWCQFg,4,Sylvia L.,sylvia,Female
191,2,3n96VKiKG5Tte8z-U-TaLg,xqExdlDXuVhQ52khiUKjOA,4,Doc S.,doc,Male
193,1,3uyBZNbDk2vRFBBWZOdIUA,_IKTyfpfgI-EPUAyPxOy1g,3,Krista M.,krista,Female
195,0,4-kYGYagcUzQkZuih8v-SA,VFU8HvJZvnsl_Q3sJOqMog,5,Christian G.,christian,Male
196,1,4-kYGYagcUzQkZuih8v-SA,62Ld4NEpvIalI7EwqqYHJA,4,Laura S.,laura,Female
197,2,4-kYGYagcUzQkZuih8v-SA,p2xBbZf2uNgxGxCZtZKkug,5,Leah M.,leah,Female
198,0,410wAsjVvvob2epLArtJtw,IxmAS3mWgiLwxgWD7GKkIg,5,Kahlil H.,kahlil,Male
200,2,410wAsjVvvob2epLArtJtw,Goxj0pPR7Sp4QnxB-rtZHA,4,Bruce M.,bruce,Male
202,1,42qsGN56bAsPhv5mhRZmGw,o9xcVcSbvp85PrLxXYqikg,4,Priscila R.,priscila,Female
203,2,42qsGN56bAsPhv5mhRZmGw,HPYNL9ZrEzM3VkGwI4azHw,3,lili f.,lili,Female
204,0,44SY464xDHbvOcjDzRbKkQ,eLymvccBFqk7gD3apB6mpA,5,Robert C.,robert,Male
205,1,44SY464xDHbvOcjDzRbKkQ,qOLzdDv0Wd8AQlVZ2blTsw,4,David C.,david,Male
206,2,44SY464xDHbvOcjDzRbKkQ,ys8vFoIFhu4DOgNjWAKoeQ,5,Erica W.,erica,Female
