zip_code,city,latitude,longetude,population,People / Sq. Mile,National Rank,number,State
94609,Oakland,37.834341,-122.26437,"21,093","11,877.42",#466,466, California
11003,Elmont,40.699176,-73.706166,"40,507","11,863.18",#467,467, New York
2909,Providence,41.820021,-71.454971,"40,951","11,844.76",#468,468, Rhode Island
90706,Bellflower,33.887676,-118.127289,"72,878","11,838.94",#469,469, California
20011,Washington,38.952514,-77.022991,"57,444","11,826.66",#470,470, District Of Columbia
2908,Providence,41.839825,-71.436794,"38,552","11,786.12",#471,471, Rhode Island
90723,Paramount,33.897122,-118.164432,"55,305","11,777.11",#472,472, California
90059,Los Angeles,33.927254,-118.249826,"38,123","11,701.86",#473,473, California
10005,New York,40.70539,-74.008988,884,"11,701.01",#474,474, New York
91411,Van Nuys,34.17847,-118.459472,"23,641","11,699.73",#475,475, California
14222,Buffalo,42.919236,-78.877343,"14,365","11,664.08",#476,476, New York
22203,Arlington,38.873624,-77.116801,"18,514","11,602.47",#477,477, Virginia
11426,Bellerose,40.736619,-73.72361,"18,727","11,552.09",#478,478, New York
10552,Mount Vernon,40.92446,-73.826115,"19,948","11,540.74",#479,479, New York
14213,Buffalo,42.918183,-78.892479,"26,080","11,537.77",#480,480, New York
7047,North Bergen,40.794175,-74.02496,"58,108","11,535.49",#481,481, New Jersey
91607,Valley Village,34.165783,-118.399795,"27,439","11,535.25",#482,482, California
94603,Oakland,37.739113,-122.175602,"31,389","11,528.22",#483,483, California
12210,Albany,42.657569,-73.75766,"9,492","11,492.07",#484,484, New York
60304,Oak Park,41.872502,-87.789298,"17,839","11,477.99",#485,485, Illinois
19148,Philadelphia,39.91313,-75.155421,"48,573","11,471.12",#486,486, Pennsylvania
7011,Clifton,40.879847,-74.145773,"36,979","11,464.13",#487,487, New Jersey
91401,Van Nuys,34.178483,-118.431791,"40,372","11,463.75",#488,488, California
96814,Honolulu,21.296008,-157.846648,"13,906","11,456.58",#489,489, Hawaii
60620,Chicago,41.740481,-87.653749,"85,771","11,439.03",#490,490, Illinois
14208,Buffalo,42.914225,-78.85115,"13,207","11,397.61",#491,491, New York
21201,Baltimore,39.294369,-76.62214,"15,097","11,393.42",#492,492, Maryland
909,San Juan,18.440945,-66.067285,"7,679","11,363.26",#493,493, Puerto Rico
2138,Cambridge,42.379637,-71.135152,"35,407","11,341.73",#494,494, Massachusetts
90048,Los Angeles,34.072945,-118.37267,"21,724","11,326.54",#495,495, California
2907,Providence,41.798593,-71.42463,"27,470","11,309.82",#496,496, Rhode Island
10465,Bronx,40.826285,-73.822762,"42,500","11,299.91",#497,497, New York
60707,Elmwood Park,41.921792,-87.807947,"42,621","11,251.70",#498,498, Illinois
90066,Los Angeles,34.002028,-118.430656,"55,194","11,248.68",#499,499, California
45219,Cincinnati,39.126792,-84.512242,"17,326","11,248.05",#500,500, Ohio
